"business_name","telephone","website"
"Verona's Cucina Italiana","(209) 549-8876",""
"Bella Italia","(209) 577-1094",""
"Osaka Sushi","(209) 526-3368","http://www.osakasushimodesto.com"
"China Express","(209) 527-2140",""
"Miki Japanese Restaurant","(209) 524-3555","http://www.mikisushi.com"
"Shangri-La China Bistro Restaurant","(209) 529-7968","https://www.shangrilachinabistro.com"
"Pho Bac Noodle Palace","(209) 579-5899","http://www.facebook.com/pages/Pho-Bac-Noodle-Palace/111622752211863"
"The Chicken Barn","(209) 524-7311",""
"Kimoto Sake and Sushi","(209) 579-9690","http://www.kimotosushi.com"
"Happy Dragon","(209) 544-8719","http://www.greatwallbedford.com"
"The Village Butcher","(209) 841-0109","http://www.thevillagebutcher209.com"
"Ike's Love & Sandwiches","(209) 300-7893","http://www.ikessandwich.com"
"Pho Bac Noodle Palace Restaurant","(209) 579-5899",""
"Restaurant Market","(209) 567-2280",""
"Crawfish Noodle & Grill","(209) 238-9558","https://www.facebook.com/Crawfish-Noodle-Grill-561881700625646"
"Me'Mo's Middle Eastern Cuisine","(209) 248-7240","http://ordermemosmiddleeasterncuisine.com/index.php"
"Teriyaki King","(209) 569-0272","https://www.teriyakiking.net"
"Hoki Korean BBQ & Japanese Cuisine","(209) 887-7888","http://www.hokitogo.com"
"Oishi Teri Sushi Bar","(209) 577-9888","https://www.oishisushibar.com/contact"
"Famiglia Bistro","(209) 544-1784","http://www.famigliabistro.com"
"Back Alley","(209) 622-0854",""
"BBQ by Randy","(209) 524-5081",""
"China Garden","(209) 527-3876","http://eatchinagarden.com"
"Great Wall","(209) 544-8719",""
"Waffle Shop Country Cooking","(209) 571-8188","http://www.wafflehouse.com"
"Casa Adobe Restaurant","(209) 530-0891",""
"Mexicali Grill","(209) 526-9999","http://olasmexicaligrill.com"
"El Rosal","(209) 526-2048","http://www.elrosalrestaurant.com"
"Bauers","(209) 409-4258","https://downtownbauers.weebly.com"
"Denny's","(209) 526-0286","https://locations.dennys.com/CA/MODESTO/248034?utm_source=yext&utm_medium=local-listing&utm_campaign=yext-listing&y_source=1_MjIyODA0OS01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D"
"Caffe Amore","(209) 408-8454","https://www.facebook.com/amorehookahlounge"
"Tresetti's World Caffe","(209) 572-2990","http://tresetti.com"
"Chefs of New York","(209) 551-0163","http://www.chefsofnewyork.com"
"Galletto Ristorante","(209) 523-4500","http://www.galletto.biz"
"D K Noodle Vietnamese Cuisine","(209) 572-1727","http://www.dknoodlevietnamesecuisine.com"
"Marie Callender's Restaurant & Bakery","(209) 408-8155","http://www.mariecallenders.com"
"Uno Chicago Grill","(209) 521-8667","http://www.unos.com"
"Dewz Restaurant","(209) 549-1101",""
"Sushi Garden","(209) 521-1014","http://sushi-garden.net"
"Barkin Dog Grill","(209) 572-2341",""
"Umi Sushi","(209) 622-0806","http://www.umisushi.com"
"Torii Japanese Restaurant","(209) 529-8697","http://www.toriis.com"
"Ciao Bella Ristorante","(209) 521-2426","https://www.facebook.com/ciaobellaristo?pnresnef=ihc"
"East Chinatown","(209) 551-1234","http://www.eastchinatown.com"
"Beiruts Falfel Hut","(209) 557-9454","https://www.facebook.com/beirutfalafelhut"
"Divine Swine A Grill & Bar","(209) 596-4649","http://www.divineswineagrillandbar.com"
"Orient House Restaurant","(209) 577-2099","http://www.modestoorienthouse.com"
"Wing Street","(209) 524-9031","https://www.pizzahut.com"
"Sabatino's Ristorante","(209) 576-7116",""
"Jumbo Burger","(209) 551-7070",""
"Rook House BBQ","(209) 599-2111",""
"Vito's Modesto","(209) 576-1851",""
"Saigon Restaurant","(209) 576-2878","https://www.facebook.com/modestoSaigonRestaurant"
"Wing Street","(209) 526-6800","http://pizzahut.com"
"Bauhaus","(209) 857-5819",""
"TNK Vegan Cafe","(209) 567-2232","http://www.tnkvegancafe.com"
"Golden State Restaurant Group","(209) 300-7012",""
"Beijing Restaurant","(209) 575-3528","http://www.beijingrestaurantinc.com"
"Da Tang Express","(209) 576-8588",""
"The Bayou Bar & Grill","(209) 360-2983","https://www.thebayoumodesto.com"
